Country,Index Level,Index Ranking December 2024,Deadliness Ranking,Diffusion Ranking,Danger Ranking,Fragmentation Ranking,Deadliness Value,Diffusion Value,Danger Value,Fragmentation Value,Deadliness Value Scaled,Diffusion Value Scaled,Danger Value Scaled,Fragmentation Value Scaled,Total Score
Palestine,Extreme,1,2,1,1,6,35137,0.716,7010,85,0.519731976,1,1,0.050776583,2.571
Myanmar,Extreme,2,3,8,4,1,19847,0.057,3694,1674,0.293568618,0.079608939,0.526961484,1,1.9
Syria,Extreme,3,10,5,6,3,5849,0.111,2516,148,0.08651599,0.155027933,0.358915835,0.088410992,0.689
Mexico,Extreme,4,7,17,2,4,8110,0.011,5828,131,0.119959767,0.015363128,0.831383738,0.078255675,1.045
Nigeria,Extreme,5,6,17,7,11,9355,0.011,2127,69,0.138375292,0.015363128,0.30342368,0.041218638,0.498
Brazil,Extreme,6,9,26,3,7,7163,0.004,4396,77,0.105952134,0.005586592,0.627104137,0.045997611,0.785
Lebanon,Extreme,7,15,2,12,21,3827,0.364,1181,21,0.056607402,0.508379888,0.168473609,0.012544803,0.746
Sudan,Extreme,8,4,23,9,15,13833,0.006,1951,30,0.204612017,0.008379888,0.27831669,0.017921147,0.509
Cameroon,Extreme,9,17,12,10,16,2225,0.019,1747,29,0.03291128,0.026536313,0.249215407,0.017323775,0.326
Colombia,Extreme,10,21,20,11,7,1693,0.007,1472,77,0.025042156,0.009776536,0.209985735,0.045997611,0.291
Haiti,High,11,19,10,24,12,1870,0.041,439,49,0.027660267,0.05726257,0.062624822,0.029271207,0.177
Pakistan,High,12,16,23,17,10,2883,0.006,748,71,0.042644144,0.008379888,0.106704708,0.042413381,0.2
Democratic Republic of Congo,High,13,14,30,15,9,3943,0.003,828,72,0.058323226,0.004189944,0.118116976,0.043010753,0.224
Ukraine,High,14,1,7,5,56,67606,0.061,3182,6,1,0.085195531,0.453922967,0.003584229,1.543
India,High,15,23,38,8,2,1183,0.001,2115,164,0.017498447,0.001396648,0.30171184,0.097968937,0.419
Yemen,High,16,22,15,13,24,1672,0.017,945,17,0.024731533,0.023743017,0.134807418,0.010155317,0.193
Iraq,High,17,25,12,25,13,979,0.019,429,43,0.014480963,0.026536313,0.061198288,0.025686977,0.128
Bangladesh,High,18,30,16,19,14,524,0.012,644,41,0.007750791,0.016759777,0.091868759,0.024492234,0.141
