# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
[cite_start]05-Jan-25,Central African Republic,"Ouadda Maikaga subprefect, Haute-Kotto",FACA soldiers,Girl (16-year-old),Child/Minor,1,Yes (Victim),Kidnap/Rape,Corbeau News,"16-year-old girl kidnapped and raped; kept for days at military base. [cite: 250, 251, 252]"
[cite_start]05-Jan-25,Central African Republic,"Ouadda Maikaga subprefect, Haute-Kotto",FACA soldiers,Girl (15-year-old),Child/Minor,1,Yes (Victim),Kidnap/Rape,Corbeau News,"15-year-old girl kidnapped and raped by soldiers. [cite: 252, 253]"
[cite_start]15-16 Jan 25,Chad,"Amtoukoui, N'djamena",Police sub-commissioner,Woman (20-year-old),Adult,1,No/Unspecified,Rape,Tchadinfos,"Woman raped throughout the night by police sub-commissioner whilst detained. [cite: 318, 319]"
[cite_start]14-Jan-25,DRC,"Bihovu Health area, Kalehe, South Kivu",Armed group,Women,Adult,2,No/Unspecified,Rape,Radio Okapi,"Two women raped by unidentified armed group. [cite: 321, 322]"
[cite_start]20-Jan-25,DRC,"Kalungu locality, Kalehe, South Kivu",Armed men,Girls,Child/Minor,5,Yes (Victims),Rape,Radio Okapi,"Five young girls from the same family raped. [cite: 323, 324]"
[cite_start]23-Jan-25,DRC,"Selembao commune, Kinshasa",Armed bandits,Woman,Adult,1,No/Unspecified,Rape,Radio Okapi,"Woman raped by armed bandits during raid. [cite: 325, 326]"
[cite_start]08-Jan-25,Ethiopia,"Dangila, Awi zone, Amhara",ENDF soldier,Woman (20s),Adult,1,No/Unspecified,Rape,Amhara War Updates,"Woman raped by soldier in front of others. [cite: 328, 329]"
[cite_start]10-Jan-25,Ethiopia,"Central Gonder zone, Amhara",ENDF soldiers,Girls (9-12),Child/Minor,Unspecified,Yes (Victims),Sexual Harassment,Amhara War Updates,"Girls aged 9-12 sexually harassed while detained. [cite: 330, 332, 333]"
[cite_start]10-Jan-25,South Africa,"Ga-Chuene village, Limpopo",Armed men,Nurses (47 and 28),Adult,2,No/Unspecified,Rape/Abduction,Daily Sun,"Two nurses abducted and raped at gunpoint. [cite: 335, 336]"
[cite_start]14-Jan-25,South Africa,Cape Town,Police constable,Woman (41-year-old),Adult,1,No/Unspecified,Rape,Daily Sun,"Woman raped by police constable whilst detained in cells. [cite: 337, 338]"
[cite_start]06-Jan-25,Sudan,Al Jazeera state,RSF,Women/Girls,Mixed,10 (Suicide),Yes (Girls victims),Rape/Suicide,Sudan Tribune,10 women/girls took own lives due to rape trauma (Oct-Dec 2024). [cite: 340]
[cite_start]11-Jan-25,Sudan,Khartoum state,RSF soldiers,Girl,Child/Minor,1,Yes (Victim),Kidnap/Rape/Kill,Radio Dabanga,"Girl abducted, raped, and found dead with bullet wounds. [cite: 341, 342]"
[cite_start]15-Jan-25,Sudan,Kordofan region,RSF soldiers,Pharmacist (Female),Adult,1,No/Unspecified,Threat of Rape,Personal Communication,"Female pharmacist threatened with kidnapping and rape. [cite: 343, 344]"
[cite_start]16-Jan-25,Sudan,"Al Khairan village, Gezira",RSF militia,Women,Adult,Unspecified,No/Unspecified,Rape,ACLED/Sudan Tribune,"Unspecified number of women raped during raid. [cite: 345, 346]"
[cite_start]20-Jan-25,Sudan,Unspecified,RSF (Linked accounts),SIHA Staff,Adult,Unspecified,No/Unspecified,Threats,SIHA,"Online attacks and threats against women's group. [cite: 347, 348]"
[cite_start]22-Jan-25,Sudan,"Zalingei city, Central Darfur",RSF,Women,Adult,5,No/Unspecified,Rape,Sudan Tribune,"5 cases of rape documented between Apr 2023 and Dec 2024. [cite: 349, 350]"
[cite_start]22-Jan-25,Sudan,"Al-Fasher city, North Darfur",RSF,Women,Adult,17,No/Unspecified,Rape,Sudan Tribune,"17 cases of rape documented between Apr 2023 and Dec 2024. [cite: 351, 352]"
[cite_start]25-Jan-25,Sudan,IDP camp (Northern Sudan),Unidentified,Woman,Adult,1,No/Unspecified,Rape,Personal Communication,"Woman raped at night by perpetrator who choked her. [cite: 353, 354]"
[cite_start]26-Jan-25,Sudan,"Abu Qota village, Al Jazeera",RSF militia,Woman (30s),Adult,1,No/Unspecified,Gang-rape/Kill,Sudan War Updates,"Woman raped by >20 RSF members; died of wounds. [cite: 355, 272]"
[cite_start]27-Jan-25,Sudan,Unspecified,RSF militia,Daughters,Child/Minor,Unspecified,Yes (Victims),Attempted Rape/Kill (Father),Alhamish Voice,"Doctor killed; attempted rape of his daughters. [cite: 272, 273]"
[cite_start]13-Jan-25,Zambia,"Mponda area, Northern province",Police officer/Men,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,Zambia Observer,"15-year-old raped by police officer and two men. [cite: 273, 274, 275]"
[cite_start]12-Jan-25,India,"Marenmai village, Manipur",NSCN-IM,Women,Adult,6,No/Unspecified,Assault/Attempted Sexual Assault,ACLED,Six women physically assaulted and subjected to attempted sexual assault. [cite: 276]
[cite_start]25-Feb-25,Central African Republic,"Ippy town, Ouaka",Wagner mercenaries,Man,Adult,1,No/Unspecified,Torture (Strip),Corbeau News,"Man stripped naked and tortured; recorded on social media. [cite: 415, 416]"
[cite_start]19-Feb-25,Central African Republic,"Beforo village, Ouham Pende",Armed herders/Locals,Minors,Child/Minor,Unspecified,Yes (Victims),Sexual Assault,Radio Ndeke Luka,"Unspecified number of minors sexually assaulted during clashes. [cite: 416, 417]"
[cite_start]16-Feb-25,Chad,Djindikono village,Police officers,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Alwihda info,"17-year-old raped by two police officers while reporting another assault. [cite: 417, 418]"
[cite_start]17-23 Feb 25,DRC,"Lubero territory, North Kivu",Unspecified,Unspecified,Unknown,Unspecified,No/Unspecified,Rape,OCHA News,"Unspecified number of rape incidents reported during clashes. [cite: 418, 419]"
[cite_start]22-Feb-25,DRC,"Goma city, North Kivu",AFC/M23/RDF,Girls,Child/Minor,6,Yes (Victims),Rape,The Voice of Congo,"Six girls raped by members of AFC/M23/RDF. [cite: 419, 420]"
[cite_start]24-Feb-25,DRC,"Uvira city, South Kivu",Unspecified,Unspecified,Unknown,Multiple,No/Unspecified,Rape,OCHA News,"Multiple rape incidents reported during clashes. [cite: 420, 421]"
[cite_start]17-Feb-25,Ethiopia,"Bedewi village, Amhara",ENDF members,Woman,Adult,1,No/Unspecified,Rape,Amhara Association of America,"Woman raped by seven ENDF members. [cite: 421, 422]"
[cite_start]19-Feb-25,Ethiopia,"Bahir Dar city, Amhara",Police officers,Woman (50-year-old),Adult,1,No/Unspecified,Rape,ACLED,"50-year-old woman raped by four suspected Amhara police officers. [cite: 423, 424]"
[cite_start]10-12 Feb 25,Mali,Tabagout village,FAMa/Wagner,Women,Adult,Unspecified,No/Unspecified,Rape/Assault,Personal Communication,"Women tied up, raped and assaulted. [cite: 424, 425]"
[cite_start]02-Feb-25,Sudan,"Shakra town, North Darfur",RSF militia,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape,Sudan Violations,"16-year-old girl raped. [cite: 425, 426]"
[cite_start]02-Feb-25,Sudan,"Shakra town, North Darfur",RSF militia,Girl (20s),Adult,1,No/Unspecified,Rape,Sudan Violations,"Girl in her twenties raped. [cite: 426, 427]"
[cite_start]02-Feb-25,Sudan,"Shakra town, North Darfur",RSF militia,Twin sisters (20s),Adult,2,No/Unspecified,Rape,Sudan Violations,"Twin sisters in their twenties raped. [cite: 427, 428]"
[cite_start]06-Feb-25,Sudan,"Cap Al Jidad city, Al Jazirah",RSF militia,Women,Adult,Unspecified,No/Unspecified,Rape,ACLED,"Unspecified number of women raped. [cite: 428, 429]"
[cite_start]10-Feb-25,Sudan,"Kalma IDP camp, South Darfur",Armed men,Women (16-30yo),Adult,16,No/Unspecified,Rape,Sudan Tribune,"16 women raped in January collecting firewood/working. [cite: 429, 430, 431]"
[cite_start]14-Feb-25,Sudan,"Qolo reservoir, North Darfur",RSF militia,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Sudan Violations,"17-year-old girl raped. [cite: 431, 432]"
[cite_start]15-Feb-25,Sudan,"Shambat, Khartoum",RSF members,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape (Repeated)/Kill (Family),Personal Communication,"15-year-old raped every night for a month; father/brother killed. [cite: 432, 433, 434, 436]"
[cite_start]16-Feb-25,Sudan,"El Qutainah town, White Nile",Unspecified,Women,Adult,Dozens,No/Unspecified,Rape,OCHA News,"Dozens of women raped. [cite: 436, 437]"
[cite_start]28-Feb-25,Uganda,Undisclosed location,Soldiers,Women,Adult,Unspecified,No/Unspecified,Rape/Strip,Personal Communication,"Women stripped and raped by 42 soldiers. [cite: 437, 438]"
[cite_start]Week of 16 Feb 25,Afghanistan,Herat province,Taliban official,Woman,Adult,1,No/Unspecified,Sexual Assault,Hadia News,"Woman sexually assaulted in car of Taliban official. [cite: 438, 439]"
[cite_start]05-Feb-25,India,"Kolkata, West Bengal",SFI leader,Students (Female),Adult,2,No/Unspecified,Sexual Assault,India Today,"Two female students sexually assaulted. [cite: 439, 440]"
[cite_start]06-Feb-25,Kyrgyzstan,Bishkek city,Police lieutenant/Official,Woman (24-year-old),Adult,1,No/Unspecified,Rape/Beat,24KG,"24-year-old woman beaten and raped in hotel. [cite: 440, 441]"
[cite_start]04-Mar-25,Burundi,"Kanenge hill, Rumonge",Imbonerakure,Girl (15-year-old),Child/Minor,1,Yes (Victim),Beat (Sexual Context),Ligue Iteka,"15-year-old girl beaten in palm grove. [cite: 581, 582, 583]"
[cite_start]19-Mar-25,Central African Republic,Bangui,Wagner mercenaries,Young girls,Child/Minor,Unspecified,Yes (Victims),Rape,Corbeau News,"Unspecified number of young girls ambushed and raped. [cite: 583, 584]"
[cite_start]13-Mar-25,DRC,"Kabambare territory, Maniema",Unspecified,Woman,Adult,1,No/Unspecified,Rape,Radio Okapi,"Woman raped during land dispute. [cite: 584, 586]"
[cite_start]17-18 Mar 25,DRC,"Walikale territory, North Kivu",Unspecified,Unspecified,Unknown,Unspecified,No/Unspecified,Sexual Violence,OCHA News,"Incidents of sexual violence during clashes. [cite: 586, 587]"
[cite_start]17-23 Mar 25,DRC,"Makana village, North Kivu",Armed men,Girls,Child/Minor,2,Yes (Victims),Kill (Resisting Rape),Radio Okapi,"Two girls killed resisting rape. [cite: 587, 588]"
[cite_start]02-Mar-25,Ethiopia,"Gimbichu woreda, Oromo",Oromia police,Women,Adult,2,No/Unspecified,Rape,Amhara War Updates,"Two women raped during nighttime raid. [cite: 588, 589]"
[cite_start]28-Mar-25,Mali,"Iniskak village, Kidal",FAMa/Wagner,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman arrested and raped in temporary camp. [cite: 589, 590]"
[cite_start]18-Mar-25,Niger,Tillaberi region,Nigerien army,Young men,Adult/Young Adult,Unspecified,No/Unspecified,Torture/Strip,Actualites Sahel,"Young men tortured and clothes torn off. [cite: 591, 592]"
[cite_start]18-Mar-25,Nigeria,"Amarata farm, Bayelsa",Fulani herders,Woman (Elderly),Elderly,1,No/Unspecified,Rape,Vanguard,"Elderly woman raped on farm. [cite: 592, 593]"
[cite_start]18-Mar-25,Nigeria,"Warri city, Delta",Armed group,Student (11-year-old),Child/Minor,1,Yes (Victim),Rape/Stab,ACLED,"11-year-old student raped and stabbed. [cite: 593, 594]"
[cite_start]11-Mar-25,Sudan,Khartoum,RSF,Girls (inc 15yo) and Man,Mixed,5 (4 girls 1 man),Yes (15yo victim),Rape,Sudan Tribune,"Four girls and a young man raped. [cite: 594, 595, 596]"
[cite_start]15-Mar-25,Sudan,"Al Rahad city, North Kordofan",RSF,People,Mixed,Unspecified,No/Unspecified,Strip (Clothes torn),Sudan War Updates,"People had clothes torn during forced displacement. [cite: 596, 597]"
[cite_start]Week of 17 Mar 25,Sudan,Khartoum,RSF,Women,Adult,2,No/Unspecified,Rape,Sudan Tribune,"Two women raped. [cite: 597, 598]"
[cite_start]12-19 Mar 25,Sudan,Khartoum state,RSF,Volunteers/People,Adult,Unspecified (Total 70 abducted),No/Unspecified,Sexual Violence,New Age,"Sexual violence reported during mass abduction. [cite: 598, 599, 600]"
[cite_start]31-Mar-25,Sudan,"Soba city, Khartoum",RSF,Detainees,Adult,Unspecified,No/Unspecified,Strip/Beat,France 24,"Detainees stripped and beaten (mid-2024 to present). [cite: 600, 601]"
[cite_start]20-Mar-25,Afghanistan,"Sayab village, Takhar",Taliban member,Girl (11-year-old),Child/Minor,1,Yes (Victim),Rape/Kill,Rukhshana,"11-year-old girl raped and stabbed to death. [cite: 601, 602]"
[cite_start]17-Mar-25,Bangladesh,Chandina upazila,Unidentified,NGO workers (M/F),Adult,2,No/Unspecified,Strip/Torture,Daily Star,"Female worker stripped/filmed; male tortured. [cite: 603, 604, 605]"
